what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507002925785
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507002925951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507002933256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507002936601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507006092586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507006095565
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507006127753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507006128716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507006139631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507007153517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507007155305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507007156207
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1507007156332
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1507007156582
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1507007156770
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1507007156770
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1507007156770
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1507007156770
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1507007156770
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1507007156770
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1507007156770
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1507007156770
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,16.0.1.v201112150204-238534,"overlay.com.android.ide.eclipse.adt.overlay",1507007156770
stopped,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1507007156770
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1507007156785
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1507007156785
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1507007156785
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1507007156785
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1507007156785
stopped,bundle,org.eclipse.wb.rcp.GroupLayout,1.2.0.r37x201109270449,"org.eclipse.wb.rcp.GroupLayout",1507007156801
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.2.0.r37x201109270453,"org.eclipse.wb.rcp.SWT_AWT",1507007156801
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.2.0.r37x201109270442,"org.eclipse.wb.rcp.databinding.emf",1507007156801
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.2.0.r37x201109270457,"org.eclipse.wb.rcp.databinding.xwt",1507007156801
stopped,bundle,org.eclipse.wb.rcp.databinding,1.2.0.r37x201109270442,"org.eclipse.wb.rcp.databinding",1507007156801
stopped,bundle,org.eclipse.wb.rcp.nebula,1.2.0.r37x201109270442,"org.eclipse.wb.rcp.nebula",1507007156801
